Year,Sex,Age Group,Offence Division,Victim Reports
2020,Females,00-19 ,A Crimes against the person,7130
2020,Females,00-19 ,B Property and deception offences,2089
2020,Females,00-19 ,C Other offences,16
2020,Females,20-29 ,A Crimes against the person,9714
2020,Females,20-29 ,B Property and deception offences,14834
2020,Females,20-29 ,C Other offences,18
2020,Females,30-39 ,A Crimes against the person,8334
2020,Females,30-39 ,B Property and deception offences,15224
2020,Females,30-39 ,C Other offences,28
2020,Females,40-49 ,A Crimes against the person,5805
2020,Females,40-49 ,B Property and deception offences,12907
2020,Females,40-49 ,C Other offences,17
2020,Females,50-59 ,A Crimes against the person,3125
2020,Females,50-59 ,B Property and deception offences,9847
2020,Females,50-59 ,C Other offences,9
2020,Females,60-69 ,A Crimes against the person,1241
2020,Females,60-69 ,B Property and deception offences,5720
2020,Females,60-69 ,C Other offences,4
2020,Females,70+,A Crimes against the person,787
2020,Females,70+,B Property and deception offences,4117
2020,Females,70+,C Other offences,2
2020,Males,00-19 ,A Crimes against the person,5934
2020,Males,00-19 ,B Property and deception offences,3351
2020,Males,00-19 ,C Other offences,9
2020,Males,20-29 ,A Crimes against the person,7060
2020,Males,20-29 ,B Property and deception offences,20951
2020,Males,20-29 ,C Other offences,13
2020,Males,30-39 ,A Crimes against the person,6055
2020,Males,30-39 ,B Property and deception offences,22639
2020,Males,30-39 ,C Other offences,21
2020,Males,40-49 ,A Crimes against the person,4711
2020,Males,40-49 ,B Property and deception offences,17424
2020,Males,40-49 ,C Other offences,7
2020,Males,50-59 ,A Crimes against the person,3237
2020,Males,50-59 ,B Property and deception offences,14268
2020,Males,50-59 ,C Other offences,9
2020,Males,60-69 ,A Crimes against the person,1466
2020,Males,60-69 ,B Property and deception offences,9201
2020,Males,60-69 ,C Other offences,2
2020,Males,70+,A Crimes against the person,689
2020,Males,70+,B Property and deception offences,5599
2020,Males,70+,C Other offences,2
