Year,Sex,AgeGroup,OffenceDivision,VictimReports
2020,Females,00-19,A Crimes against the person,7130
2020,Females,00-19,B Property and deception offences,2089
2020,Females,00-19,C Other offences,16
2020,Females,20-29,A Crimes against the person,9714
2020,Females,20-29,B Property and deception offences,14834
2020,Females,20-29,C Other offences,18
2020,Females,30-39,A Crimes against the person,8334
2020,Females,30-39,B Property and deception offences,15224
2020,Females,30-39,C Other offences,28
2020,Females,40-49,A Crimes against the person,5805
2020,Females,40-49,B Property and deception offences,12907
2020,Females,40-49,C Other offences,17
2020,Females,50-59,A Crimes against the person,3125
2020,Females,50-59,B Property and deception offences,9847
2020,Females,50-59,C Other offences,9
2020,Females,60-69,A Crimes against the person,1241
2020,Females,60-69,B Property and deception offences,5720
2020,Females,60-69,C Other offences,4
2020,Females,70+,A Crimes against the person,787
2020,Females,70+,B Property and deception offences,4117
2020,Females,70+,C Other offences,2
2020,Males,00-19,A Crimes against the person,5934
2020,Males,00-19,B Property and deception offences,3351
2020,Males,00-19,C Other offences,9
2020,Males,20-29,A Crimes against the person,7060
2020,Males,20-29,B Property and deception offences,20951
2020,Males,20-29,C Other offences,13
2020,Males,30-39,A Crimes against the person,6055
2020,Males,30-39,B Property and deception offences,22639
2020,Males,30-39,C Other offences,21
2020,Males,40-49,A Crimes against the person,4711
2020,Males,40-49,B Property and deception offences,17424
2020,Males,40-49,C Other offences,7
2020,Males,50-59,A Crimes against the person,3237
2020,Males,50-59,B Property and deception offences,14268
2020,Males,50-59,C Other offences,9
2020,Males,60-69,A Crimes against the person,1466
2020,Males,60-69,B Property and deception offences,9201
2020,Males,60-69,C Other offences,2
2020,Males,70+,A Crimes against the person,689
2020,Males,70+,B Property and deception offences,5599
2020,Males,70+,C Other offences,2
2019,Females,00-19,A Crimes against the person,7429
2019,Females,00-19,B Property and deception offences,2130
2019,Females,00-19,C Other offences,15
2019,Females,20-29,A Crimes against the person,9582
2019,Females,20-29,B Property and deception offences,14354
2019,Females,20-29,C Other offences,24
2019,Females,30-39,A Crimes against the person,7856
2019,Females,30-39,B Property and deception offences,13786
2019,Females,30-39,C Other offences,22
2019,Females,40-49,A Crimes against the person,5705
2019,Females,40-49,B Property and deception offences,11813
2019,Females,40-49,C Other offences,21
2019,Females,50-59,A Crimes against the person,3061
2019,Females,50-59,B Property and deception offences,8859
2019,Females,50-59,C Other offences,6
2019,Females,60-69,A Crimes against the person,1179
2019,Females,60-69,B Property and deception offences,5165
2019,Females,60-69,C Other offences,7
2019,Females,70+,A Crimes against the person,684
2019,Females,70+,B Property and deception offences,3480
2019,Females,70+,C Other offences,2
2019,Males,00-19,A Crimes against the person,5943
2019,Males,00-19,B Property and deception offences,3275
2019,Males,00-19,C Other offences,6
2019,Males,20-29,A Crimes against the person,6881
2019,Males,20-29,B Property and deception offences,20187
2019,Males,20-29,C Other offences,14
2019,Males,30-39,A Crimes against the person,5854
2019,Males,30-39,B Property and deception offences,21221
2019,Males,30-39,C Other offences,10
2019,Males,40-49,A Crimes against the person,4531
2019,Males,40-49,B Property and deception offences,16610
2019,Males,40-49,C Other offences,13
2019,Males,50-59,A Crimes against the person,3198
2019,Males,50-59,B Property and deception offences,13450
2019,Males,50-59,C Other offences,15
2019,Males,60-69,A Crimes against the person,1363
2019,Males,60-69,B Property and deception offences,8202
2019,Males,60-69,C Other offences,6
2019,Males,70+,A Crimes against the person,586
2019,Males,70+,B Property and deception offences,4854
2019,People,00-19,A Crimes against the person,13373
2019,People,00-19,B Property and deception offences,5406
2019,People,00-19,C Other offences,21
2019,People,20-29,A Crimes against the person,16466
2019,People,20-29,B Property and deception offences,34549
2019,People,20-29,C Other offences,38
2019,People,30-39,A Crimes against the person,13713
2019,People,30-39,B Property and deception offences,35037
2019,People,30-39,C Other offences,32
2019,People,40-49,A Crimes against the person,10236
2019,People,40-49,B Property and deception offences,28448
2019,People,40-49,C Other offences,34
2019,People,50-59,A Crimes against the person,6261
2019,People,50-59,B Property and deception offences,22337
2019,People,50-59,C Other offences,21
2019,People,60-69,A Crimes against the person,2543
2019,People,60-69,B Property and deception offences,13377
2019,People,60-69,C Other offences,13
2019,People,70+,A Crimes against the person,1270
2019,People,70+,B Property and deception offences,8353
2019,People,70+,C Other offences,2
2018,Females,00-19,A Crimes against the person,7549
2018,Females,00-19,B Property and deception offences,2244
2018,Females,00-19,C Other offences,11
2018,Females,20-29,A Crimes against the person,8991
2018,Females,20-29,B Property and deception offences,14937
2018,Females,20-29,C Other offences,11
2018,Females,30-39,A Crimes against the person,7521
2018,Females,30-39,B Property and deception offences,14384
2018,Females,30-39,C Other offences,17
2018,Females,40-49,A Crimes against the person,5498
2018,Females,40-49,B Property and deception offences,12077
2018,Females,40-49,C Other offences,9
2018,Females,50-59,A Crimes against the person,2765
2018,Females,50-59,B Property and deception offences,8900
2018,Females,50-59,C Other offences,7
2018,Females,60-69,A Crimes against the person,1010
2018,Females,60-69,B Property and deception offences,5070
2018,Females,70+,A Crimes against the person,588
2018,Females,70+,B Property and deception offences,3328
2018,Females,70+,C Other offences,2
2018,Males,00-19,A Crimes against the person,6097
2018,Males,00-19,B Property and deception offences,3261
2018,Males,00-19,C Other offences,8
2018,Males,20-29,A Crimes against the person,6969
2018,Males,20-29,B Property and deception offences,20436
2018,Males,20-29,C Other offences,6
2018,Males,30-39,A Crimes against the person,5450
2018,Males,30-39,B Property and deception offences,21445
2018,Males,30-39,C Other offences,10
2018,Males,40-49,A Crimes against the person,4389
2018,Males,40-49,B Property and deception offences,17224
2018,Males,40-49,C Other offences,7
2018,Males,50-59,A Crimes against the person,3132
2018,Males,50-59,B Property and deception offences,13473
2018,Males,50-59,C Other offences,2
2018,Males,60-69,A Crimes against the person,1351
2018,Males,60-69,B Property and deception offences,8526
2018,Males,60-69,C Other offences,4
2018,Males,70+,A Crimes against the person,571
2018,Males,70+,B Property and deception offences,4717
2018,Males,70+,C Other offences,2
2018,People,00-19,A Crimes against the person,13646
2018,People,00-19,B Property and deception offences,5505
2018,People,00-19,C Other offences,19
2018,People,20-29,A Crimes against the person,15961
2018,People,20-29,B Property and deception offences,35377
2018,People,20-29,C Other offences,17
2018,People,30-39,A Crimes against the person,12972
2018,People,30-39,B Property and deception offences,35832
2018,People,30-39,C Other offences,27
2018,People,40-49,A Crimes against the person,9890
2018,People,40-49,B Property and deception offences,29330
2018,People,40-49,C Other offences,16
2018,People,50-59,A Crimes against the person,5918
2018,People,50-59,B Property and deception offences,22494
2018,People,50-59,C Other offences,9
2018,People,60-69,A Crimes against the person,2369
2018,People,60-69,B Property and deception offences,13663
2018,People,60-69,C Other offences,4
2018,People,70+,A Crimes against the person,1163
2018,People,70+,B Property and deception offences,8097
2018,People,70+,C Other offences,4
2017,Females,00-19,A Crimes against the person,7574
2017,Females,00-19,B Property and deception offences,2423
2017,Females,00-19,C Other offences,8
2017,Females,20-29,A Crimes against the person,8801
2017,Females,20-29,B Property and deception offences,16638
2017,Females,20-29,C Other offences,9
2017,Females,30-39,A Crimes against the person,7282
2017,Females,30-39,B Property and deception offences,15774
2017,Females,30-39,C Other offences,5
2017,Females,40-49,A Crimes against the person,5531
2017,Females,40-49,B Property and deception offences,13885
2017,Females,40-49,C Other offences,7
2017,Females,50-59,A Crimes against the person,2626
2017,Females,50-59,B Property and deception offences,9896
2017,Females,50-59,C Other offences,5
2017,Females,60-69,A Crimes against the person,926
2017,Females,60-69,B Property and deception offences,5433
2017,Females,60-69,C Other offences,2
2017,Females,70+,A Crimes against the person,520
2017,Females,70+,B Property and deception offences,3549
2017,Males,00-19,A Crimes against the person,5827
2017,Males,00-19,B Property and deception offences,3490
2017,Males,00-19,C Other offences,5
2017,Males,20-29,A Crimes against the person,6983
2017,Males,20-29,B Property and deception offences,22737
2017,Males,20-29,C Other offences,5
2017,Males,30-39,A Crimes against the person,5885
