Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2020,June,1 North West Metro,BANYULE,3749,"2,832.20"
2020,June,1 North West Metro,BRIMBANK,8186,"3,894.40"
2020,June,1 North West Metro,DAREBIN,7193,"4,338.30"
2020,June,1 North West Metro,HOBSONS BAY,2611,"2,648.20"
2020,June,1 North West Metro,HUME,8624,"3,572.20"
2020,June,1 North West Metro,MARIBYRNONG,4528,"4,734.10"
2020,June,1 North West Metro,MELBOURNE,13638,"7,273.60"
2020,June,1 North West Metro,MELTON,5067,"2,946.10"
2020,June,1 North West Metro,MOONEE VALLEY,4032,"3,053.50"
2020,June,1 North West Metro,MORELAND,7348,"3,893.90"
2020,June,1 North West Metro,NILLUMBIK,918,"1,408.50"
2020,June,1 North West Metro,WHITTLESEA,6659,"2,810.10"
2020,June,1 North West Metro,WYNDHAM,7374,"2,601.30"
2020,June,1 North West Metro,YARRA,6779,"6,572.30"
2020,June,2 Eastern,ALPINE,229,"1,781.00"
2020,June,2 Eastern,BASS COAST,1041,"2,808.30"
2020,June,2 Eastern,BAW BAW,1877,"3,433.20"
2020,June,2 Eastern,BENALLA,501,"3,560.10"
2020,June,2 Eastern,BOROONDARA,4765,"2,583.80"
2020,June,2 Eastern,EAST GIPPSLAND,2000,"4,185.40"
2020,June,2 Eastern,GREATER SHEPPARTON,3261,"4,876.50"
2020,June,2 Eastern,INDIGO,255,"1,514.90"
2020,June,2 Eastern,KNOX,5146,"3,113.70"
2020,June,2 Eastern,LATROBE,5055,"6,659.20"
2020,June,2 Eastern,MANNINGHAM,2340,"1,818.60"
2020,June,2 Eastern,MANSFIELD,162,"1,743.10"
2020,June,2 Eastern,MAROONDAH,3027,"2,528.90"
2020,June,2 Eastern,MITCHELL,1622,"3,384.30"
2020,June,2 Eastern,MOIRA,930,"3,099.00"
2020,June,2 Eastern,MONASH,6031,"2,963.10"
2020,June,2 Eastern,MURRINDINDI,380,"2,579.90"
2020,June,2 Eastern,SOUTH GIPPSLAND,641,"2,128.10"
2020,June,2 Eastern,STRATHBOGIE,254,"2,334.50"
2020,June,2 Eastern,TOWONG,94,"1,553.60"
2020,June,2 Eastern,WANGARATTA,846,"2,881.50"
2020,June,2 Eastern,WELLINGTON,1836,"4,117.20"
2020,June,2 Eastern,WHITEHORSE,4702,"2,614.20"
2020,June,2 Eastern,WODONGA,1461,"3,401.90"
2020,June,2 Eastern,YARRA RANGES,3389,"2,112.80"
2020,June,3 Southern Metro,BAYSIDE,2788,"2,588.60"
2020,June,3 Southern Metro,CARDINIA,2907,"2,480.90"
2020,June,3 Southern Metro,CASEY,10312,"2,823.70"
2020,June,3 Southern Metro,FRANKSTON,5809,"4,041.00"
2020,June,3 Southern Metro,GLEN EIRA,4306,"2,735.80"
2020,June,3 Southern Metro,GREATER DANDENONG,7747,"4,557.50"
2020,June,3 Southern Metro,KINGSTON,5014,"3,002.40"
2020,June,3 Southern Metro,MORNINGTON PENINSULA,4974,"2,940.70"
2020,June,3 Southern Metro,PORT PHILLIP,6409,"5,444.20"
2020,June,3 Southern Metro,STONNINGTON,5850,"4,919.70"
2020,June,4 Western,ARARAT,506,"4,265.80"
2020,June,4 Western,BALLARAT,4972,"4,460.30"
2020,June,4 Western,BULOKE,164,"2,695.60"
2020,June,4 Western,CAMPASPE,1305,"3,467.40"
2020,June,4 Western,CENTRAL GOLDFIELDS,453,"3,424.90"
2020,June,4 Western,COLAC-OTWAY,661,"3,061.40"
2020,June,4 Western,CORANGAMITE,304,"1,909.40"
2020,June,4 Western,GANNAWARRA,259,"2,477.90"
2020,June,4 Western,GLENELG,577,"2,939.10"
2020,June,4 Western,GOLDEN PLAINS,309,"1,274.80"
2020,June,4 Western,GREATER BENDIGO,4275,"3,562.80"
2020,June,4 Western,GREATER GEELONG,9546,"3,605.50"
2020,June,4 Western,HEPBURN,437,"2,720.00"
2020,June,4 Western,HINDMARSH,153,"2,766.20"
2020,June,4 Western,HORSHAM,711,"3,567.40"
2020,June,4 Western,LODDON,218,"2,910.40"
2020,June,4 Western,MACEDON RANGES,886,"1,736.00"
2020,June,4 Western,MILDURA,3069,"5,479.60"
2020,June,4 Western,MOORABOOL,945,"2,626.70"
2020,June,4 Western,MOUNT ALEXANDER,405,"2,033.40"
2020,June,4 Western,MOYNE,303,"1,777.70"
2020,June,4 Western,NORTHERN GRAMPIANS,387,"3,416.40"
2020,June,4 Western,PYRENEES,238,"3,182.10"
2020,June,4 Western,QUEENSCLIFFE,65,"2,200.90"
2020,June,4 Western,SOUTHERN GRAMPIANS,447,"2,779.70"
2020,June,4 Western,SURF COAST,669,"1,951.30"
2020,June,4 Western,SWAN HILL,858,"4,168.00"
2020,June,4 Western,WARRNAMBOOL,1203,"3,399.80"
2020,June,4 Western,WEST WIMMERA,72,"1,894.50"
2020,June,4 Western,YARRIAMBIACK,252,"3,824.70"
