Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2020,1 North West Metro,BANYULE,3749,2832.2
2020,1 North West Metro,BRIMBANK,8186,3894.4
2020,1 North West Metro,DAREBIN,7193,4338.3
2020,1 North West Metro,HOBSONS BAY,2611,2648.2
2020,1 North West Metro,HUME,8624,3572.2
2020,1 North West Metro,MARIBYRNONG,4528,4734.1
2020,1 North West Metro,MELBOURNE,13638,7273.6
2020,1 North West Metro,MELTON,5067,2946.1
2020,1 North West Metro,MOONEE VALLEY,4032,3053.5
2020,1 North West Metro,MORELAND,7348,3893.9
2020,1 North West Metro,NILLUMBIK,918,1408.5
2020,1 North West Metro,WHITTLESEA,6659,2810.1
2020,1 North West Metro,WYNDHAM,7374,2601.3
2020,1 North West Metro,YARRA,6779,6572.3
2020,2 Eastern,ALPINE,229,1781
2020,2 Eastern,BASS COAST,1041,2808.3
2020,2 Eastern,BAW BAW,1877,3433.2
2020,2 Eastern,BENALLA,501,3560.1
2020,2 Eastern,BOROONDARA,4765,2583.8
2020,2 Eastern,EAST GIPPSLAND,2000,4185.4
2020,2 Eastern,GREATER SHEPPARTON,3261,4876.5
2020,2 Eastern,INDIGO,255,1514.9
2020,2 Eastern,KNOX,5146,3113.7
2020,2 Eastern,LATROBE,5055,6659.2
2020,2 Eastern,MANNINGHAM,2340,1818.6
2020,2 Eastern,MANSFIELD,162,1743.1
2020,2 Eastern,MAROONDAH,3027,2528.9
2020,2 Eastern,MITCHELL,1622,3384.3
2020,2 Eastern,MOIRA,930,3099
2020,2 Eastern,MONASH,6031,2963.1
2020,2 Eastern,MURRINDINDI,380,2579.9
2020,2 Eastern,SOUTH GIPPSLAND,641,2128.1
2020,2 Eastern,STRATHBOGIE,254,2334.5
2020,2 Eastern,TOWONG,94,1553.6
2020,2 Eastern,WANGARATTA,846,2881.5
2020,2 Eastern,WELLINGTON,1836,4117.2
2020,2 Eastern,WHITEHORSE,4702,2614.2
2020,2 Eastern,WODONGA,1461,3401.9
2020,2 Eastern,YARRA RANGES,3389,2112.8
2020,3 Southern Metro,BAYSIDE,2788,2588.6
2020,3 Southern Metro,CARDINIA,2907,2480.9
2020,3 Southern Metro,CASEY,10312,2823.7
2020,3 Southern Metro,FRANKSTON,5809,4041
2020,3 Southern Metro,GLEN EIRA,4306,2735.8
2020,3 Southern Metro,GREATER DANDENONG,7747,4557.5
2020,3 Southern Metro,KINGSTON,5014,3002.4
2020,3 Southern Metro,MORNINGTON PENINSULA,4974,2940.7
2020,3 Southern Metro,PORT PHILLIP,6409,5444.2
2020,3 Southern Metro,STONNINGTON,5850,4919.7
2020,4 Western,ARARAT,506,4265.8
2020,4 Western,BALLARAT,4972,4460.3
2020,4 Western,BULOKE,164,2695.6
2020,4 Western,CAMPASPE,1305,3467.4
2020,4 Western,CENTRAL GOLDFIELDS,453,3424.9
2020,4 Western,COLAC-OTWAY,661,3061.4
2020,4 Western,CORANGAMITE,304,1909.4
2020,4 Western,GANNAWARRA,259,2477.9
2020,4 Western,GLENELG,577,2939.1
2020,4 Western,GOLDEN PLAINS,309,1274.8
2020,4 Western,GREATER BENDIGO,4275,3562.8
2020,4 Western,GREATER GEELONG,9546,3605.5
2020,4 Western,HEPBURN,437,2720
2020,4 Western,HINDMARSH,153,2766.2
2020,4 Western,HORSHAM,711,3567.4
2020,4 Western,LODDON,218,2910.4
2020,4 Western,MACEDON RANGES,886,1736
2020,4 Western,MILDURA,3069,5479.6
2020,4 Western,MOORABOOL,945,2626.7
2020,4 Western,MOUNT ALEXANDER,405,2033.4
2020,4 Western,MOYNE,303,1777.7
2020,4 Western,NORTHERN GRAMPIANS,387,3416.4
2020,4 Western,PYRENEES,238,3182.1
2020,4 Western,QUEENSCLIFFE,65,2200.9
2020,4 Western,SOUTHERN GRAMPIANS,447,2779.7
2020,4 Western,SURF COAST,669,1951.3
2020,4 Western,SWAN HILL,858,4168
2020,4 Western,WARRNAMBOOL,1203,3399.8
2020,4 Western,WEST WIMMERA,72,1894.5
2020,4 Western,YARRIAMBIACK,252,3824.7
