Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2020,1 North West Metro,BANYULE,3749,2832.155691
2020,1 North West Metro,BRIMBANK,8186,3894.390647
2020,1 North West Metro,DAREBIN,7193,4338.332897
2020,1 North West Metro,HOBSONS BAY,2611,2648.20341
2020,1 North West Metro,HUME,8624,3572.243757
2020,1 North West Metro,MARIBYRNONG,4528,4734.089417
2020,1 North West Metro,MELBOURNE,13638,7273.592914
2020,1 North West Metro,MELTON,5067,2946.096856
2020,1 North West Metro,MOONEE VALLEY,4032,3053.53765
2020,1 North West Metro,MORELAND,7348,3893.884927
2020,1 North West Metro,NILLUMBIK,918,1408.535187
2020,1 North West Metro,WHITTLESEA,6659,2810.11414
2020,1 North West Metro,WYNDHAM,7374,2601.333871
2020,1 North West Metro,YARRA,6779,6572.251474
2020,2 Eastern,ALPINE,229,1780.964884
2020,2 Eastern,BASS COAST,1041,2808.285265
2020,2 Eastern,BAW BAW,1877,3433.212058
2020,2 Eastern,BENALLA,501,3560.134927
2020,2 Eastern,BOROONDARA,4765,2583.799253
2020,2 Eastern,EAST GIPPSLAND,2000,4185.422575
2020,2 Eastern,GREATER SHEPPARTON,3261,4876.545238
2020,2 Eastern,INDIGO,255,1514.861346
2020,2 Eastern,KNOX,5146,3113.72331
2020,2 Eastern,LATROBE,5055,6659.155235
2020,2 Eastern,MANNINGHAM,2340,1818.552802
2020,2 Eastern,MANSFIELD,162,1743.13476
2020,2 Eastern,MAROONDAH,3027,2528.935272
2020,2 Eastern,MITCHELL,1622,3384.313162
2020,2 Eastern,MOIRA,930,3099.043402
2020,2 Eastern,MONASH,6031,2963.090622
2020,2 Eastern,MURRINDINDI,380,2579.866604
2020,2 Eastern,SOUTH GIPPSLAND,641,2128.138688
2020,2 Eastern,STRATHBOGIE,254,2334.487854
2020,2 Eastern,TOWONG,94,1553.623024
2020,2 Eastern,WANGARATTA,846,2881.547881
2020,2 Eastern,WELLINGTON,1836,4117.232262
