Year,Offence Division,Offence Subdivision,Relationship of Victim to Offender,Victim Reports
2020,A Crimes against the person,A10 Homicide and related offences,Cannot be determined,43
2020,A Crimes against the person,A10 Homicide and related offences,Current partner,23
2020,A Crimes against the person,A10 Homicide and related offences,Family,24
2020,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2020,A Crimes against the person,A10 Homicide and related offences,Non family member,45
2020,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,70
2020,A Crimes against the person,A20 Assault and related offences,Cannot be determined,5263
2020,A Crimes against the person,A20 Assault and related offences,Current partner,8662
2020,A Crimes against the person,A20 Assault and related offences,Family,8762
2020,A Crimes against the person,A20 Assault and related offences,Former partner,4142
2020,A Crimes against the person,A20 Assault and related offences,Non family member,6577
2020,A Crimes against the person,A20 Assault and related offences,Not related/ associated,10142
2020,A Crimes against the person,A20 Assault and related offences,Total,43599
2020,A Crimes against the person,A30 Sexual offences,Cannot be determined,1028
2020,A Crimes against the person,A30 Sexual offences,Current partner,864
2020,A Crimes against the person,A30 Sexual offences,Family,1670
2020,A Crimes against the person,A30 Sexual offences,Former partner,740
2020,A Crimes against the person,A30 Sexual offences,Non family member,2854
2020,A Crimes against the person,A30 Sexual offences,Not related/ associated,1665
2020,A Crimes against the person,A40 Abduction and related offences,Cannot be determined,75
2020,A Crimes against the person,A40 Abduction and related offences,Current partner,121
2020,A Crimes against the person,A40 Abduction and related offences,Family,47
2020,A Crimes against the person,A40 Abduction and related offences,Former partner,87
2020,A Crimes against the person,A40 Abduction and related offences,Non family member,84
2020,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,81
2020,A Crimes against the person,A50 Robbery,Cannot be determined,1715
2020,A Crimes against the person,A50 Robbery,Current partner,13
2020,A Crimes against the person,A50 Robbery,Family,17
2020,A Crimes against the person,A50 Robbery,Former partner,20
2020,A Crimes against the person,A50 Robbery,Non family member,292
2020,A Crimes against the person,A50 Robbery,Not related/ associated,1623
2020,A Crimes against the person,A60 Blackmail and extortion,Cannot be determined,49
2020,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2020,A Crimes against the person,A60 Blackmail and extortion,Family,2
2020,A Crimes against the person,A60 Blackmail and extortion,Former partner,4
2020,A Crimes against the person,A60 Blackmail and extortion,Non family member,37
2020,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,26
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Cannot be determined,685
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,948
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,1493
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,1749
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,1394
2020,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,893
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Cannot be determined,1378
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,293
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,240
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,160
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,239
2020,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,903
2020,B Property and deception offences,B10 Arson,Cannot be determined,43
2020,B Property and deception offences,B10 Arson,Current partner,6
2020,B Property and deception offences,B10 Arson,Family,4
2020,B Property and deception offences,B10 Arson,Former partner,4
2020,B Property and deception offences,B10 Arson,Non family member,5
2020,B Property and deception offences,B10 Arson,Not related/ associated,10
2020,B Property and deception offences,B20 Property damage,Cannot be determined,13450
2020,B Property and deception offences,B20 Property damage,Current partner,1477
2020,B Property and deception offences,B20 Property damage,Family,2579
2020,B Property and deception offences,B20 Property damage,Former partner,1282
2020,B Property and deception offences,B20 Property damage,Non family member,1986
2020,B Property and deception offences,B20 Property damage,Not related/ associated,3109
2020,B Property and deception offences,B30 Burglary/Break and enter,Cannot be determined,21313
2020,B Property and deception offences,B30 Burglary/Break and enter,Current partner,61
2020,B Property and deception offences,B30 Burglary/Break and enter,Family,197
2020,B Property and deception offences,B30 Burglary/Break and enter,Former partner,301
2020,B Property and deception offences,B30 Burglary/Break and enter,Non family member,672
2020,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,3511
2020,B Property and deception offences,B40 Theft,Cannot be determined,81875
2020,B Property and deception offences,B40 Theft,Current partner,159
2020,B Property and deception offences,B40 Theft,Family,525
2020,B Property and deception offences,B40 Theft,Former partner,321
2020,B Property and deception offences,B40 Theft,Non family member,2014
2020,B Property and deception offences,B40 Theft,Not related/ associated,12749
2020,B Property and deception offences,B50 Deception,Cannot be determined,4946
2020,B Property and deception offences,B50 Deception,Current partner,19
2020,B Property and deception offences,B50 Deception,Family,135
2020,B Property and deception offences,B50 Deception,Former partner,89
2020,B Property and deception offences,B50 Deception,Non family member,325
2020,B Property and deception offences,B50 Deception,Not related/ associated,3077
2020,C Other offences,C Other offences,Cannot be determined,33
2020,C Other offences,C Other offences,Current partner,14
2020,C Other offences,C Other offences,Family,8
2020,C Other offences,C Other offences,Former partner,15
2020,C Other offences,C Other offences,Non family member,6
2020,C Other offences,C Other offences,Not related/ associated,31
