Year,Local Government Area,Offence Division,Offence Subdivision,Victim Reports
2020,Alpine,A Crimes against the person,A20 Assault and related offences,47
2020,Alpine,A Crimes against the person,A30 Sexual offences,15
2020,Alpine,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
2020,Alpine,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9
2020,Alpine,B Property and deception offences,B20 Property damage,30
2020,Alpine,B Property and deception offences,B30 Burglary/Break and enter,13
2020,Alpine,B Property and deception offences,B40 Theft,96
2020,Alpine,B Property and deception offences,B50 Deception,7
2020,Ararat,A Crimes against the person,A20 Assault and related offences,138
2020,Ararat,A Crimes against the person,A30 Sexual offences,31
2020,Ararat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",31
2020,Ararat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,19
2020,Ararat,B Property and deception offences,B10 Arson,4
2020,Ararat,B Property and deception offences,B20 Property damage,87
2020,Ararat,B Property and deception offences,B30 Burglary/Break and enter,56
2020,Ararat,B Property and deception offences,B40 Theft,127
2020,Ararat,B Property and deception offences,B50 Deception,10
2020,Ballarat,A Crimes against the person,A20 Assault and related offences,737
2020,Ballarat,A Crimes against the person,A30 Sexual offences,193
2020,Ballarat,A Crimes against the person,A40 Abduction and related offences,6
2020,Ballarat,A Crimes against the person,A50 Robbery,40
2020,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",96
2020,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,98
2020,Ballarat,B Property and deception offences,B10 Arson,89
2020,Ballarat,B Property and deception offences,B20 Property damage,585
2020,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,655
2020,Ballarat,B Property and deception offences,B40 Theft,"2,394"
2020,Ballarat,B Property and deception offences,B50 Deception,66
2020,Ballarat,C Drug offences,C90 Other drug offences,4
2020,Banyule,A Crimes against the person,A10 Homicide and related offences,4
2020,Banyule,A Crimes against the person,A20 Assault and related offences,650
2020,Banyule,A Crimes against the person,A30 Sexual offences,101
2020,Banyule,A Crimes against the person,A40 Abduction and related offences,6
2020,Banyule,A Crimes against the person,A50 Robbery,48
2020,Banyule,A Crimes against the person,A60 Blackmail and extortion,4
2020,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",127
2020,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,41
2020,Banyule,B Property and deception offences,B10 Arson,18
2020,Banyule,B Property and deception offences,B20 Property damage,417
2020,Banyule,B Property and deception offences,B30 Burglary/Break and enter,534
2020,Banyule,B Property and deception offences,B40 Theft,"1,639"
2020,Banyule,B Property and deception offences,B50 Deception,158
2020,Bass Coast,A Crimes against the person,A20 Assault and related offences,243
2020,Bass Coast,A Crimes against the person,A30 Sexual offences,52
2020,Bass Coast,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",70
2020,Bass Coast,A Crimes against the person,A80 Dangerous and negligent acts endangering people,16
2020,Bass Coast,B Property and deception offences,B10 Arson,7
2020,Bass Coast,B Property and deception offences,B20 Property damage,180
2020,Bass Coast,B Property and deception offences,B30 Burglary/Break and enter,156
2020,Bass Coast,B Property and deception offences,B40 Theft,282
2020,Bass Coast,B Property and deception offences,B50 Deception,28
2020,Baw Baw,A Crimes against the person,A20 Assault and related offences,336
2020,Baw Baw,A Crimes against the person,A30 Sexual offences,86
2020,Baw Baw,A Crimes against the person,A50 Robbery,9
2020,Baw Baw,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",76
2020,Baw Baw,A Crimes against the person,A80 Dangerous and negligent acts endangering people,38
2020,Baw Baw,B Property and deception offences,B10 Arson,15
2020,Baw Baw,B Property and deception offences,B20 Property damage,215
