Year,Local Government Area,Offence Division,Offence Subdivision,Victim Reports
2020,Alpine,A Crimes against the person,A: Assault,47
2020,Alpine,A Crimes against the person,A: Sexual Offence,15
2020,Alpine,A Crimes against the person,Other Offences,8
2020,Alpine,A Crimes against the person,Other Offences,9
2020,Alpine,B Property and deception offences,B: Property Damage,30
2020,Alpine,B Property and deception offences,B: Property Damage,13
2020,Alpine,B Property and deception offences,B: Theft,96
2020,Alpine,B Property and deception offences,Other Offences,7
2020,Ararat,A Crimes against the person,A: Assault,138
2020,Ararat,A Crimes against the person,A: Sexual Offence,31
2020,Ararat,A Crimes against the person,Other Offences,31
2020,Ararat,A Crimes against the person,Other Offences,19
2020,Ararat,B Property and deception offences,Other Offences,4
2020,Ararat,B Property and deception offences,B: Property Damage,87
2020,Ararat,B Property and deception offences,B: Property Damage,56
2020,Ararat,B Property and deception offences,B: Theft,127
2020,Ararat,B Property and deception offences,Other Offences,10
2020,Ballarat,A Crimes against the person,A: Assault,737
2020,Ballarat,A Crimes against the person,A: Sexual Offence,193
2020,Ballarat,A Crimes against the person,Other Offences,6
2020,Ballarat,A Crimes against the person,Other Offences,40
2020,Ballarat,A Crimes against the person,Other Offences,96
2020,Ballarat,A Crimes against the person,Other Offences,98
2020,Ballarat,B Property and deception offences,Other Offences,89
2020,Ballarat,B Property and deception offences,B: Property Damage,585
2020,Ballarat,B Property and deception offences,B: Property Damage,655
2020,Ballarat,B Property and deception offences,B: Theft,2394
2020,Ballarat,B Property and deception offences,Other Offences,66
2020,Ballarat,C Other offences,Other Offences,4
2020,Banyule,A Crimes against the person,Other Offences,4
2020,Banyule,A Crimes against the person,A: Assault,650
2020,Banyule,A Crimes against the person,A: Sexual Offence,101
2020,Banyule,A Crimes against the person,Other Offences,6
2020,Banyule,A Crimes against the person,Other Offences,48
2020,Banyule,A Crimes against the person,Other Offences,4
2020,Banyule,A Crimes against the person,Other Offences,127
2020,Banyule,A Crimes against the person,Other Offences,41
2020,Banyule,B Property and deception offences,Other Offences,18
2020,Banyule,B Property and deception offences,B: Property Damage,417
2020,Banyule,B Property and deception offences,B: Property Damage,534
2020,Banyule,B Property and deception offences,B: Theft,1639
2020,Banyule,B Property and deception offences,Other Offences,158
2020,Bass Coast,A Crimes against the person,A: Assault,243
2020,Bass Coast,A Crimes against the person,A: Sexual Offence,52
2020,Bass Coast,A Crimes against the person,Other Offences,70
2020,Bass Coast,A Crimes against the person,Other Offences,16
2020,Bass Coast,B Property and deception offences,Other Offences,7
2020,Bass Coast,B Property and deception offences,B: Property Damage,180
2020,Bass Coast,B Property and deception offences,B: Property Damage,156
2020,Bass Coast,B Property and deception offences,B: Theft,282
2020,Bass Coast,B Property and deception offences,Other Offences,28
2020,Baw Baw,A Crimes against the person,A: Assault,336
2020,Baw Baw,A Crimes against the person,A: Sexual Offence,86
2020,Baw Baw,A Crimes against the person,Other Offences,9
2020,Baw Baw,A Crimes against the person,Other Offences,76
2020,Baw Baw,A Crimes against the person,Other Offences,38
2020,Baw Baw,B Property and deception offences,Other Offences,15
2020,Baw Baw,B Property and deception offences,B: Property Damage,215
2020,Baw Baw,B Property and deception offences,B: Property Damage,323
2020,Baw Baw,B Property and deception offences,B: Theft,723
2020,Baw Baw,B Property and deception offences,Other Offences,51
2020,Bayside,A Crimes against the person,A: Assault,299
2020,Bayside,A Crimes against the person,A: Sexual Offence,101
2020,Bayside,A Crimes against the person,Other Offences,15
2020,Bayside,A Crimes against the person,Other Offences,31
2020,Bayside,A Crimes against the person,Other Offences,20
2020,Bayside,B Property and deception offences,Other Offences,10
2020,Bayside,B Property and deception offences,B: Property Damage,244
2020,Bayside,B Property and deception offences,B: Property Damage,444
2020,Bayside,B Property and deception offences,B: Theft,1504
2020,Bayside,B Property and deception offences,Other Offences,115
2020,Benalla,A Crimes against the person,A: Assault,152
2020,Benalla,A Crimes against the person,A: Sexual Offence,35
2020,Benalla,A Crimes against the person,Other Offences,17
